Hash,Filename,New Function Signature,Old Function Signature
d5256592b85cbdd3e0734d222bb0660bd78d41eb,Picasso.java,"private void cancelExistingRequest(Object target, String path)",private void cancelExistingRequest(Object target)
a967d73bbadaa6767a2e2bb71e5b6d0473633115,LruCache.java,private int safeSizeOf(Bitmap value),"private int safeSizeOf(K key, V value)"
6e015ac883cefd9b902a6919a76e5c4e2d3ad2ad,Picasso.java,"static Bitmap transformResult(Request request, Bitmap result, int exifRotation)","static Bitmap transformResult(Request request, Bitmap result)"
54937d85e2556e5cda7394e6cf9c3d73b0294b6e,PicassoDrawable.java,"private void setBitmap(Bitmap bitmap, LoadedFrom loadedFrom, boolean noFade)","private void setBitmap(Bitmap bitmap, LoadedFrom loadedFrom)"
2aee75e3c0b2d25f391f7783fa7618bd4c713741,Picasso.java,private void cancelExistingRequest(Object target),"private void cancelExistingRequest(Object target, Uri uri)"
2aee75e3c0b2d25f391f7783fa7618bd4c713741,Picasso.java,private void cancelExistingRequest(Object target),"private void cancelExistingRequest(Request request, Uri uri)"
2aee75e3c0b2d25f391f7783fa7618bd4c713741,Picasso.java,private void cancelExistingRequest(Request existing),"private void cancelExistingRequest(Object target, Uri uri)"
2aee75e3c0b2d25f391f7783fa7618bd4c713741,Picasso.java,private void cancelExistingRequest(Request existing),"private void cancelExistingRequest(Request request, Uri uri)"
075b0e8e722bc49f74112b8b21175ef52dfc337c,BitmapHunter.java,"static void calculateInSampleSize(int reqWidth, int reqHeight, BitmapFactory.Options options)",static void calculateInSampleSize(PicassoBitmapOptions options)
075b0e8e722bc49f74112b8b21175ef52dfc337c,ContentStreamBitmapHunter.java,protected Bitmap decodeContentStream(Request data) throws IOException,"private Bitmap decodeContentStream(Uri path, PicassoBitmapOptions options) throws IOException"
075b0e8e722bc49f74112b8b21175ef52dfc337c,RequestCreator.java,public RequestCreator rotate(float degrees),"public RequestBuilder rotate(float degrees, float pivotX, float pivotY)"
075b0e8e722bc49f74112b8b21175ef52dfc337c,RequestCreator.java,"public RequestCreator rotate(float degrees, float pivotX, float pivotY)",public RequestBuilder rotate(float degrees)
58adc93611618f8e224d5e18951703fc7804f814,ResourceBitmapHunter.java,"private Bitmap decodeResource(Resources resources, int id, Request data)","private Bitmap decodeResource(Resources resources, Request data)"
dd3954c66ac01c3854468d393da0752ebdf5b82b,TestUtils.java,"static Action mockAction(String key, Uri uri, Object target, int resourceId, Priority priority)","static Action mockAction(String key, Request request, Object target)"
dd3954c66ac01c3854468d393da0752ebdf5b82b,TestUtils.java,"static Action mockAction(String key, Request request, Object target, Priority priority)","static Action mockAction(String key, Request request, Object target)"
38ecd59fc3da3117a4ad15d7d93d848f9fb1ffcb,TestUtils.java,"static Action mockAction(String key, Uri uri, String tag)","static Action mockAction(String key, Uri uri, Object target, int resourceId, Priority priority)"
38ecd59fc3da3117a4ad15d7d93d848f9fb1ffcb,TestUtils.java,"static Action mockAction(String key, Uri uri, String tag)","static Action mockAction(String key, Request request, Object target, Priority priority)"
38ecd59fc3da3117a4ad15d7d93d848f9fb1ffcb,TestUtils.java,"static Action mockAction(String key, Uri uri, Object target, String tag)","static Action mockAction(String key, Uri uri, Object target, int resourceId, Priority priority)"
f877b2561dad2aef8936b74d8c48d271aa8540a7,PicassoDrawable.java,"static void setPlaceholder(ImageView target, Drawable placeholderDrawable)","static void setPlaceholder(ImageView target, int placeholderResId, Drawable placeholderDrawable)"
c2666774601fb57efff13ce25ec7f22ee410a8a3,MediaStoreRequestHandlerTest.java,private MediaStoreRequestHandler create(String mimeType),"private MediaStoreRequestHandler create(String mimeType, Action action)"
c2666774601fb57efff13ce25ec7f22ee410a8a3,MediaStoreRequestHandlerTest.java,private MediaStoreRequestHandler create(String mimeType),"private MediaStoreRequestHandler create(ContentResolver contentResolver, Action action)"
c2666774601fb57efff13ce25ec7f22ee410a8a3,MediaStoreRequestHandlerTest.java,private MediaStoreRequestHandler create(ContentResolver contentResolver),"private MediaStoreRequestHandler create(String mimeType, Action action)"
c2666774601fb57efff13ce25ec7f22ee410a8a3,MediaStoreRequestHandlerTest.java,private MediaStoreRequestHandler create(ContentResolver contentResolver),"private MediaStoreRequestHandler create(ContentResolver contentResolver, Action action)"
aa3a4b7953b33251758e5f6762b6a728bb7b00b8,PicassoDrawable.java,"private static Path getTrianglePath(int x1, int y1, int width)","private static Path getTrianglePath(Point p1, int width)"
de942a58705cd956ebd6d7e4f09168920b48c586,RemoteViewsActionTest.java,"private TestableRemoteViewsAction createAction(int errorResId, Callback callback)",private TestableRemoteViewsAction createAction()
de942a58705cd956ebd6d7e4f09168920b48c586,RemoteViewsActionTest.java,"private TestableRemoteViewsAction createAction(int errorResId, Callback callback)",private TestableRemoteViewsAction createAction(int errorResId)
83f3384cee769b2f157728d12161516d4ebb0568,DeferredRequestCreator.java,private void defer(View view),"static Object defer(View view, final DeferredRequestCreator creator)"
91e7e213919cb13f725690dfbce4b0c5c40e34bc,Picasso.java,"private void deliverAction(Bitmap result, LoadedFrom from, Action action, Exception e)","private void deliverAction(Bitmap result, LoadedFrom from, Action action)"
b51bebf6f1766cdbe57fd7b6b43e2c9ff937b50e,Picasso.java,"private void deliverAction(RequestHandler.Result result, Action action, Exception e)","private void deliverAction(Bitmap result, LoadedFrom from, Action action, Exception e)"
b51bebf6f1766cdbe57fd7b6b43e2c9ff937b50e,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result, boolean skipCache)","static BitmapHunter mockHunter(String key, Bitmap result, boolean skipCache, Action action)"
b51bebf6f1766cdbe57fd7b6b43e2c9ff937b50e,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result, boolean skipCache)","static BitmapHunter mockHunter(String key, Bitmap result, int memoryPolicy, Action action)"
b51bebf6f1766cdbe57fd7b6b43e2c9ff937b50e,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result, boolean skipCache, Action action)","static BitmapHunter mockHunter(String key, Bitmap result, boolean skipCache)"
b51bebf6f1766cdbe57fd7b6b43e2c9ff937b50e,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result, int memoryPolicy, Action action)","static BitmapHunter mockHunter(String key, Bitmap result, boolean skipCache)"
2dd480fb1b7e38fcd7cf405e06598d91d57a8090,AssetRequestHandler.java,"public void load(Picasso picasso, Request request, Callback callback)","public void load(Picasso picasso, Request request, int networkPolicy, Callback callback)"
2dd480fb1b7e38fcd7cf405e06598d91d57a8090,NetworkRequestHandler.java,private static okhttp3.Request createRequest(Request request),"private static okhttp3.Request createRequest(Request request, int networkPolicy)"
2dd480fb1b7e38fcd7cf405e06598d91d57a8090,ResourceDrawableRequestHandler.java,"public void load(Picasso picasso, Request request, Callback callback)","public void load(Picasso picasso, Request request, int networkPolicy, Callback callback)"
cbc5316676fb3047ef5f3c481f0c6b915b35e08f,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result)","static BitmapHunter mockHunter(String key, RequestHandler.Result result, boolean skipCache)"
cbc5316676fb3047ef5f3c481f0c6b915b35e08f,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result)","static BitmapHunter mockHunter(String key, RequestHandler.Result result, boolean skipCache, Action action)"
cbc5316676fb3047ef5f3c481f0c6b915b35e08f,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result)","static BitmapHunter mockHunter(String key, RequestHandler.Result result, int memoryPolicy, Action action)"
cbc5316676fb3047ef5f3c481f0c6b915b35e08f,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result, Action action)","static BitmapHunter mockHunter(String key, RequestHandler.Result result, boolean skipCache, Action action)"
cbc5316676fb3047ef5f3c481f0c6b915b35e08f,TestUtils.java,"static BitmapHunter mockHunter(String key, RequestHandler.Result result, Action action)","static BitmapHunter mockHunter(String key, RequestHandler.Result result, int memoryPolicy, Action action)"
ba0b374ee44be4701cda37c0f232f9d25daa3ce5,MediaStoreRequestHandler.java,protected int getExifOrientation(Request request),"static int getExifOrientation(ContentResolver contentResolver, Uri uri)"
e06e5404734b185666a95fb7244b2bc9ff15f31e,RequestCreator.java,"private void performRemoteViewInto(Request request, RemoteViewsAction action)",private void performRemoteViewInto(RemoteViewsAction action)
5e7659afe6512f1d20a69a5e6ba069c3e74ed363,TestUtils.java,static Action mockAction(Request request),"static Action mockAction(String key, Request request)"
5e7659afe6512f1d20a69a5e6ba069c3e74ed363,TestUtils.java,"static Action mockAction(Request request, final Object target, String tag)","static Action mockAction(String key, Request request)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri)","static Action mockAction(String key, Uri uri, Object target)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri)","static Action mockAction(String key, Uri uri, Priority priority)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri)","static Action mockAction(String key, Uri uri, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri)","static Action mockAction(String key, Uri uri, Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri)","static Action mockAction(String key, Uri uri, Object target, int resourceId)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri)",static Action mockAction(Request request)
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri)","static Action mockAction(Request request, final Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target)","static Action mockAction(String key, Uri uri)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target)","static Action mockAction(String key, Uri uri, Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target)","static Action mockAction(String key, Uri uri, Object target, int resourceId)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target)",static Action mockAction(Request request)
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Priority priority)","static Action mockAction(String key, Uri uri)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Priority priority)","static Action mockAction(String key, Uri uri, Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Priority priority)","static Action mockAction(String key, Uri uri, Object target, int resourceId)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Priority priority)",static Action mockAction(Request request)
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, String tag)","static Action mockAction(String key, Uri uri)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, String tag)","static Action mockAction(String key, Uri uri, Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, String tag)","static Action mockAction(String key, Uri uri, Object target, int resourceId)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, String tag)",static Action mockAction(Request request)
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, String tag)","static Action mockAction(String key, Uri uri)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, String tag)","static Action mockAction(String key, Uri uri, Object target)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, String tag)","static Action mockAction(String key, Uri uri, Priority priority)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, String tag)","static Action mockAction(String key, Uri uri, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, String tag)",static Action mockAction(Request request)
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, String tag)","static Action mockAction(Request request, final Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, int resourceId)","static Action mockAction(String key, Uri uri)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, int resourceId)","static Action mockAction(String key, Uri uri, Object target)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, int resourceId)","static Action mockAction(String key, Uri uri, Priority priority)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, int resourceId)","static Action mockAction(String key, Uri uri, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, int resourceId)",static Action mockAction(Request request)
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(String key, Uri uri, Object target, int resourceId)","static Action mockAction(Request request, final Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,static FakeAction mockAction(Request request),"static Action mockAction(String key, Uri uri)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,static FakeAction mockAction(Request request),"static Action mockAction(String key, Uri uri, Object target)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,static FakeAction mockAction(Request request),"static Action mockAction(String key, Uri uri, Priority priority)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,static FakeAction mockAction(Request request),"static Action mockAction(String key, Uri uri, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,static FakeAction mockAction(Request request),"static Action mockAction(String key, Uri uri, Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,static FakeAction mockAction(Request request),"static Action mockAction(String key, Uri uri, Object target, int resourceId)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,static FakeAction mockAction(Request request),"static Action mockAction(Request request, final Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(Request request, final Object target)","static Action mockAction(String key, Uri uri, Object target)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(Request request, final Object target)","static Action mockAction(String key, Uri uri, Priority priority)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(Request request, final Object target)","static Action mockAction(String key, Uri uri, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(Request request, final Object target)","static Action mockAction(String key, Uri uri, Object target, String tag)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(Request request, final Object target)","static Action mockAction(String key, Uri uri, Object target, int resourceId)"
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(Request request, final Object target)",static Action mockAction(Request request)
04024106b8b916e0bdfeabe86bed2289be92a768,TestUtils.java,"static FakeAction mockAction(Request request, final Object target)","static Action mockAction(Request request, final Object target, String tag)"
84c92bc798f7009b224720538072a1153f17f711,TestUtils.java,static BitmapHunter mockHunter(RequestHandler.Result result),"static BitmapHunter mockHunter(String key, RequestHandler.Result result)"
84c92bc798f7009b224720538072a1153f17f711,TestUtils.java,static BitmapHunter mockHunter(RequestHandler.Result result),"static BitmapHunter mockHunter(String key, RequestHandler.Result result, Action action)"
84c92bc798f7009b224720538072a1153f17f711,TestUtils.java,"static BitmapHunter mockHunter(RequestHandler.Result result, Action action)","static BitmapHunter mockHunter(String key, RequestHandler.Result result, Action action)"
84c92bc798f7009b224720538072a1153f17f711,TestUtils.java,"static BitmapHunter mockHunter(RequestHandler.Result result, Action action, Exception e)","static BitmapHunter mockHunter(String key, RequestHandler.Result result)"
84c92bc798f7009b224720538072a1153f17f711,TestUtils.java,"static BitmapHunter mockHunter(RequestHandler.Result result, Action action, boolean shouldRetry)","static BitmapHunter mockHunter(String key, RequestHandler.Result result)"
a91a587361a4fe9dbd9b6e7932b8f81a0eee4fb4,TestUtils.java,"static DeferredRequestCreator mockDeferredRequestCreator(RequestCreator creator, ImageView target)",static DeferredRequestCreator mockDeferredRequestCreator(ImageView target)
